192.52.178.30 'k.gtld-servers.net'
205.251.195.19 'ns-787.awsdns-34.net'
17.253.207.1 'b.ns.apple.com'
205.251.199.222 'ns-2014.awsdns-59.co.uk'
205.251.194.217 'ns-729.awsdns-27.net'
198.7.29.6 'ns4.edgecastdns.net'
201.6.4.61 'c906043d.virtua.com.br'
103.83.123.78 NotFound
51.68.151.230 'ogq2ngq1zmvi.semprenaluta.repassforus.al'
51.68.151.232 'gdtywq-232-151-68-51.achanceagora.com.br'
201.6.4.15 'c906040f.virtua.com.br'
205.251.194.27 'ns-539.awsdns-03.net'
205.251.194.199 'ns-711.awsdns-24.net'
205.251.195.8 'ns-776.awsdns-33.net'
157.185.173.73 NotFound
192.12.94.30 'e.gtld-servers.net'
13.107.244.2 NotFound
201.6.4.17 'c9060411.virtua.com.br'
143.166.83.6 'pc1gtm02.us.dell.com'
205.251.194.3 'ns-515.awsdns-00.net'
192.16.16.6 'ns2.edgecastdns.net'
64.4.48.6 'ns2-06.azure-dns.net'
23.235.36.32 NotFound
177.10.248.21 'ns2.as262274.net.br'
13.107.160.4 'ns4-04.azure-dns.info'
192.54.112.30 'h.gtld-servers.net'
205.251.198.198 'ns-1734.awsdns-24.co.uk'
205.251.197.121 'ns-1401.awsdns-47.org'
205.251.198.80 'ns-1616.awsdns-10.co.uk'
204.26.57.1 'd.ns.apple.com'
205.251.196.8 'ns-1032.awsdns-01.org'
68.180.130.15 'yf2.yahoo.com'
205.251.196.252 'ns-1276.awsdns-31.org'
201.16.50.39 NotFound
173.245.59.167 'george.ns.cloudflare.com'
13.107.6.1 NotFound
177.124.172.13 'ns2.mottanet.net.br'
143.166.82.252 'ns2.us.dell.com.ltg.info'
198.41.0.4 'a.root-servers.net'
205.251.194.236 'ns-748.awsdns-29.net'
199.9.14.201 'b.root-servers.net'
196.3.96.69 'oceano.uem.mz'
162.159.6.6 'ns7.cloudflare.com'
162.159.5.6 'ns6.cloudflare.com'
178.162.193.109 'ap5.adplayer.pro'
162.159.2.9 'ns5.cloudflare.com'
205.251.196.122 'ns-1146.awsdns-15.org'
205.251.194.104 'ns-616.awsdns-13.net'
205.251.199.153 'ns-1945.awsdns-51.co.uk'
162.159.9.55 'ns5.cloudflare.com'
177.37.220.26 'brisa-177.37.220-26.brisanet.com.br'
13.107.160.6 'ns4-06.azure-dns.info'
208.72.192.156 'ip-208-72-192-156.bittorrent.com'
213.251.188.130 'dns11.ovh.net'
124.83.255.100 'gns12.yahoo.co.jp'
220.243.245.5 NotFound
172.64.32.147 'vera.ns.cloudflare.com'
217.70.187.11 'ns-10-c.gandi.net'
186.192.89.18 '186-192-89-18.prt.globo.com'
13.107.4.2 NotFound
138.97.64.93 'ns1.westlink.net.br'
3.92.64.194 'ec2-3-92-64-194.compute-1.amazonaws.com'
177.10.248.19 'ns1.as262274.net.br'
15.72.96.180 'ns1.hp.com'
108.162.192.124 'kate.ns.cloudflare.com'
108.162.192.66 'april.ns.cloudflare.com'
108.162.192.158 'gene.ns.cloudflare.com'
205.251.195.45 'ns-813.awsdns-37.net'
205.251.195.166 'ns-934.awsdns-52.net'
205.251.194.218 'ns-730.awsdns-27.net'
143.166.224.9 'ps3gtm01.us.dell.com'
200.219.154.10 'd.dns.br'
173.245.58.221 'sharon.ns.cloudflare.com'
172.64.35.11 'keenan.ns.cloudflare.com'
77.74.183.10 NotFound
201.16.50.36 NotFound
13.107.206.32 'ns4-32.azure-dns.info'
205.251.194.133 'ns-645.awsdns-16.net'
81.28.224.2 'ns1.variomedia.de'
200.3.13.14 'ns3.lacnic.net'
196.3.96.66 'dzowo.uem.mz'
205.251.192.63 'ns-63.awsdns-07.com'
177.73.96.130 'ns1.dipelnetfoz.com.br'
186.209.96.11 'ns2.cinte.com.br'
192.42.93.30 'g.gtld-servers.net'
150.171.10.38 'ns1-38.azure-dns.com'
64.4.48.1 'ns2-01.azure-dns.net'
13.107.160.3 'ns4-03.azure-dns.info'
173.245.59.98 'darl.ns.cloudflare.com'
205.251.198.38 'ns-1574.awsdns-04.co.uk'
3.139.224.14 'ec2-3-139-224-14.us-east-2.compute.amazonaws.com'
208.80.125.2 'ns3.dnsmadeeasy.com'
72.163.5.201 'ns1.cisco.com'
143.0.16.26 NotFound
13.107.222.38 'ns3-38.azure-dns.org'
54.93.83.147 'ec2-54-93-83-147.eu-central-1.compute.amazonaws.com'
213.251.188.144 'dns100.ovh.net'
205.251.199.78 'ns-1870.awsdns-41.co.uk'
207.172.85.190 NotFound
192.171.96.243 NotFound
205.166.61.174 'dcc0.ctinetworks.com'
15.72.32.180 'ns2.hp.com'
205.251.195.181 'ns-949.awsdns-54.net'
108.162.193.106 'carl.ns.cloudflare.com'
13.107.24.4 'ns3-04.azure-dns.org'
205.251.194.120 'ns-632.awsdns-15.net'
212.102.32.200 'ns2.cdn77.org'
64.4.48.222 'ns2-222.azure-dns.net'
13.107.206.38 'ns4-38.azure-dns.info'
205.251.197.119 'ns-1399.awsdns-46.org'
17.253.201.8 'a.gslb.aaplimg.com'
201.16.50.38 NotFound
205.251.199.67 'ns-1859.awsdns-40.co.uk'
62.151.177.203 NotFound
52.62.38.7 'ec2-52-62-38-7.ap-southeast-2.compute.amazonaws.com'
108.162.192.111 'elsa.ns.cloudflare.com'
81.28.236.2 'ns2.variomedia.de'
172.64.33.138 'ray.ns.cloudflare.com'
192.229.254.6 NotFound
186.202.136.35 NotFound
200.160.11.50 'a.arpa.dns.br'
205.251.196.82 'ns-1106.awsdns-10.org'
162.159.25.42 'ns2.dns-parking.com'
200.219.159.10 'f.dns.br'
186.202.8.254 NotFound
200.137.129.23 'ns1.pop-ma.rnp.br'
205.251.195.2 'ns-770.awsdns-32.net'
198.41.223.31 'cf-198-41-223-31.cloudflare.com'
189.9.7.74 NotFound
162.14.18.188 NotFound
58.60.9.41 NotFound
189.50.80.103 'vm103.ps5.com.br'
186.194.96.36 NotFound
192.31.80.30 'd.gtld-servers.net'
205.251.195.199 'ns-967.awsdns-56.net'
205.251.196.48 'ns-1072.awsdns-06.org'
205.251.197.243 'ns-1523.awsdns-62.org'
172.64.32.182 'lana.ns.cloudflare.com'
205.251.196.95 'ns-1119.awsdns-11.org'
54.197.149.214 'ec2-54-197-149-214.compute-1.amazonaws.com'
172.64.32.157 'fiona.ns.cloudflare.com'
54.247.82.108 'ec2-54-247-82-108.eu-west-1.compute.amazonaws.com'
205.251.195.20 'ns-788.awsdns-34.net'
205.251.199.150 'ns-1942.awsdns-50.co.uk'
205.251.197.149 'ns-1429.awsdns-50.org'
205.251.196.243 'ns-1267.awsdns-30.org'
200.3.13.10 'ns.lacnic.net'
205.251.196.228 'ns-1252.awsdns-28.org'
185.61.8.10 'ns.udag.de'
205.251.197.180 'ns-1460.awsdns-54.org'
3.13.7.254 'ec2-3-13-7-254.us-east-2.compute.amazonaws.com'
205.251.192.3 'ns-3.awsdns-00.com'
58.251.121.110 'reverse.gdsz.cncnet.net'
185.61.8.11 'ns.udag.org'
129.134.31.11 NotFound
159.89.31.6 'fr.e-consulters.com.br'
200.143.247.37 NotFound
205.251.196.105 'ns-1129.awsdns-13.org'
173.245.58.51 'ns1.digitalocean.com'
143.166.156.16 'ps3gtm-m.us.dell.com'
129.134.30.12 'a.ns.facebook.com'
192.0.36.252 'gtm1.mdr.icann.org'
101.91.96.228 NotFound
205.251.195.161 'ns-929.awsdns-52.net'
208.78.71.39 'ns3.salesforce.com'
217.182.183.225 'ns103.cloudns.net'
172.64.32.199 'melissa.ns.cloudflare.com'
162.159.25.27 NotFound
187.45.248.254 NotFound
205.251.196.199 'ns-1223.awsdns-24.org'
205.251.194.52 'ns-564.awsdns-06.net'
101.226.220.16 NotFound
173.245.59.112 'eric.ns.cloudflare.com'
205.251.194.211 'ns-723.awsdns-26.net'
185.89.218.12 'c.ns.facebook.com'
13.107.4.1 NotFound
40.90.4.205 'ns1-205.azure-dns.com'
108.162.192.127 'lady.ns.cloudflare.com'
40.90.4.3 'ns1-03.azure-dns.com'
205.251.199.44 'ns-1836.awsdns-37.co.uk'
15.90.180.180 'ns3.hp.com'
51.68.151.241 'yjizmtk5mwe5.semprenaluta.repassforus.al'
38.145.60.13 'ns-iad01.fedoraproject.org'
143.166.83.5 'pc1gtm01.us.dell.com'
45.77.193.2 '45.77.193.2.vultr.com'
108.162.192.89 'dahlia.ns.cloudflare.com'
172.64.33.105 'brad.ns.cloudflare.com'
161.69.23.82 NotFound
158.69.20.82 'ca.e-consulters.com.br'
199.43.133.53 'b.iana-servers.net'
132.163.4.64 'gtmb.nist.gov'
208.67.222.123 'resolver1-fs.opendns.com'
198.41.222.31 'cf-198-41-222-31.cloudflare.com'
205.251.196.176 'ns-1200.awsdns-22.org'
205.251.194.186 'ns-698.awsdns-23.net'
205.251.195.66 'ns-834.awsdns-40.net'
205.251.199.231 'ns-2023.awsdns-60.co.uk'
205.251.197.39 'ns-1319.awsdns-36.org'
5.153.44.51 '33.2c.9905.ip4.static.sl-reverse.com'
205.251.196.1 'ns-1025.awsdns-00.org'
205.251.198.147 'ns-1683.awsdns-18.co.uk'
209.225.49.205 NotFound
54.233.122.54 'ec2-54-233-122-54.sa-east-1.compute.amazonaws.com'
101.226.220.12 NotFound
13.107.42.2 NotFound
3.130.175.225 'ec2-3-130-175-225.us-east-2.compute.amazonaws.com'
173.245.59.213 'nick.ns.cloudflare.com'
108.162.193.213 'nick.ns.cloudflare.com'
205.251.194.208 'ns-720.awsdns-26.net'
189.9.32.203 'lbs3.agu.gov.br'
172.64.33.117 'hugh.ns.cloudflare.com'
49.7.2.249 NotFound
190.15.102.58 NotFound
179.188.13.50 'spamcop-01.sec.locaweb.com.br'
216.239.38.108 'ns-cloud-c4.googledomains.com'
203.130.50.2 '203.130.50.2-BJ-CNC'
205.251.193.211 'ns-467.awsdns-58.com'
13.107.160.2 'ns4-02.azure-dns.info'
200.137.129.17 'ns2.pop-ma.rnp.br'
205.251.196.191 'ns-1215.awsdns-23.org'
200.147.38.8 'charles.seguro.bank'
200.147.255.105 'borges.pag.bank'
146.112.60.53 'auth2.opendns.com'
203.119.86.101 'anysec.apnic.net'
173.245.58.179 'kia.ns.cloudflare.com'
205.251.194.149 'ns-661.awsdns-18.net'
205.251.197.202 'ns-1482.awsdns-57.org'
192.82.133.30 'av3.nstld.com'
200.139.34.203 'ns02.compute.rnp.br'
172.64.33.213 'nick.ns.cloudflare.com'
54.215.9.113 'ec2-54-215-9-113.us-west-1.compute.amazonaws.com'
205.251.194.90 'ns-602.awsdns-11.net'
97.74.111.51 'pdns03.domaincontrol.com'
177.154.192.4 'dns2.tcm10.com.br'
199.168.188.10 'server.meganuvem.com'
74.208.18.56 'forlond.surriel.com'
205.251.196.225 'ns-1249.awsdns-28.org'
205.251.195.95 'ns-863.awsdns-43.net'
200.133.192.161 NotFound
198.148.79.38 'ns1a.labs.sourcefire.com'
192.35.51.30 'f.gtld-servers.net'
113.207.76.78 NotFound
205.251.195.200 'ns-968.awsdns-57.net'
217.160.83.213 'rns.ui-dns.org'
205.251.197.20 'ns-1300.awsdns-34.org'
